Player,Role,Amount,Team,Year,Player Origin,Mega?
Chris Jordan,All-Rounder,3.6,Chennai Super Kings,2022,Overseas,1
Chris Lynn,Batsman,1.3,Kolkata Knight Riders,2014,Overseas,1
Chris Lynn,Batsman,9.6,Kolkata Knight Riders,2018,Overseas,1
Chris Lynn,Batsman,2,Mumbai Indians,2020,Overseas,0
Chris Woakes,All-Rounder,4.2,Kolkata Knight Riders,2017,Overseas,0
Chris Woakes,All-Rounder,7.4,Royal Challengers Bangalore,2018,Overseas,1
Chris Woakes,All-Rounder,1.5,Delhi Capitals,2020,Overseas,0
Christopher Barnwell,All-Rounder,0.375,Royal Challengers Bangalore,2013,Overseas,0
Christopher Gayle,Batsman,2,Kings XI Punjab,2018,Overseas,1
Christopher Morris,All-Rounder,4.6875,Chennai Super Kings,2013,Overseas,0
Christopher Morris,All-Rounder,1.4,Rajasthan Royals,2015,Overseas,0
Christopher Morris,All-Rounder,7,Delhi Daredevils,2016,Overseas,0
Christopher Morris,All-Rounder,10,Royal Challengers Bangalore,2020,Overseas,0
Christopher Morris,All-Rounder,16.25,Rajasthan Royals,2021,Overseas,0
Clinton McKay,Bowler,0.75,Sunrisers Hyderabad,2013,Overseas,0
Colin De Grandhomme,All-Rounder,2.2,Royal Challengers Bangalore,2018,Overseas,1
Colin Ingram,Batsman,6.4,Delhi Capitals,2019,Overseas,0
Colin Munro,All-Rounder,0.3,Kolkata Knight Riders,2016,Overseas,0
Colin Munro,All-Rounder,1.9,Delhi Daredevils,2018,Overseas,1
Corey Anderson,All-Rounder,4.5,Mumbai Indians,2014,Overseas,1
Corey Anderson,All-Rounder,1,Delhi Daredevils,2017,Overseas,0
Dale Steyn,Bowler,2.3,Gujarat Lions,2016,Overseas,0
Dale Steyn,Bowler,2,Royal Challengers Bangalore,2020,Overseas,0
Dan Christian,All-Rounder,4.8,Royal Challengers Bangalore,2021,Overseas,0
Daniel Christian,All-Rounder,0.75,Royal Challengers Bangalore,2013,Overseas,0
Daniel Christian,All-Rounder,1,Rising Pune Supergiant,2017,Overseas,0
Daniel Christian,All-Rounder,1.5,Delhi Daredevils,2018,Overseas,1
Daniel Sams,All-Rounder,2.6,Mumbai Indians,2022,Overseas,1
Darcy Short,All-Rounder,4,Rajasthan Royals,2018,Overseas,1
Darren Bravo,Batsman,0.5,Kolkata Knight Riders,2017,Overseas,0
Darren Sammy,All-Rounder,3.1875,Sunrisers Hyderabad,2013,Overseas,0
Darren Sammy,All-Rounder,3.5,Sunrisers Hyderabad,2014,Overseas,1
Darren Sammy,All-Rounder,2.8,Royal Challengers Bangalore,2015,Overseas,0
Darren Sammy,All-Rounder,0.3,Kings XI Punjab,2017,Overseas,0
Darshan Nalkande,All-Rounder,0.3,Kings XI Punjab,2019,Indian,0
Darshan Nalkande,All-Rounder,0.2,Gujarat Titans,2022,Indian,1
Daryl Mitchell,All-Rounder,0.75,Rajasthan Royals,2022,Overseas,1
David Miller,Batsman,3,Kings XI Punjab,2018,Overseas,1
David Miller,Batsman,0.75,Rajasthan Royals,2020,Overseas,0
David Miller,Batsman,3,Gujarat Titans,2022,Overseas,1
David Warner,Batsman,5.5,Sunrisers Hyderabad,2014,Overseas,1
David Warner,Batsman,6.25,Delhi Capitals,2022,Overseas,1
David Wiese,All-Rounder,2.8,Royal Challengers Bangalore,2015,Overseas,0
David Willey,All-Rounder,2,Royal Challengers Bangalore,2022,Overseas,1
Dawid Malan,All-Rounder,1.5,Punjab Kings,2021,Overseas,0
Debabrata Das,Wicket Keeper,0.2,Kolkata Knight Riders,2014,Indian,1
Deepak Chahar,All-Rounder,0.1,Rising Pune Supergiant,2016,Indian,0
Deepak Chahar,All-Rounder,0.8,Chennai Super Kings,2018,Indian,1
Deepak Chahar,Bowler,14,Chennai Super Kings,2022,Indian,1
Deepak Hooda,Bowler,0.4,Rajasthan Royals,2014,Indian,1
Deepak Hooda,All-Rounder,4.2,Sunrisers Hyderabad,2016,Indian,0
Deepak Hooda,All-Rounder,3.6,Sunrisers Hyderabad,2018,Indian,1
Deepak Hooda,All-Rounder,0.5,Kings XI Punjab,2020,Indian,0
Deepak Hooda,All-Rounder,5.75,Lucknow Super Giants,2022,Indian,1
Deepak Punia,All-Rounder,0.1,Mumbai Indians,2016,Indian,0
Devdutt Padikkal,Batsman,0.2,Royal Challengers Bangalore,2019,Indian,0
Devdutt Padikkal,Batsman,7.75,Rajasthan Royals,2022,Indian,1
Devon Conway,Batsman,1,Chennai Super Kings,2022,Overseas,1
Dewald Brevis,Batsman,3,Mumbai Indians,2022,Overseas,1
Dhawal Kulkarni,Bowler,1.1,Rajasthan Royals,2014,Indian,1
Dhawal Kulkarni,Bowler,2,Gujarat Lions,2016,Indian,0
Dhawal Kulkarni,Bowler,0.75,Rajasthan Royals,2018,Indian,1
Dhruv Jurel,Wicket Keeper,0.2,Rajasthan Royals,2022,Indian,1
Dhruv Shorey,All-Rounder,0.2,Chennai Super Kings,2018,Indian,1
Digvijay Deshmukh,All-Rounder,0.2,Mumbai Indians,2020,Indian,0
Dinesh Karthik,Wicket Keeper,12.5,Delhi Daredevils,2014,Indian,1
Dinesh Karthik,Wicket Keeper,10.5,Royal Challengers Bangalore,2015,Indian,0
Dinesh Karthik,Wicket Keeper,2.3,Gujarat Lions,2016,Indian,0
Dinesh Karthik,Wicket Keeper,7.4,Kolkata Knight Riders,2018,Indian,1
Dinesh Karthik,Wicket Keeper,5.5,Royal Challengers Bangalore,2022,Indian,1
Dinesh Salunkhe,All-Rounder,0.1,Rajasthan Royals,2015,Indian,0
Dirk Nannes,Bowler,4.5,Chennai Super Kings,2013,Overseas,0
Dishant Yagnik,Wicket Keeper,0.3,Rajasthan Royals,2014,Indian,1
Dominic Drakes,All-Rounder,1.1,Gujarat Titans,2022,Overseas,1
Domnic Joseph Muthuswamy,Bowler,0.75,Delhi Daredevils,2015,Overseas,0
Dushmanta Chameera,Bowler,2,Lucknow Super Giants,2022,Overseas,1
Dushmantha Chameera,Bowler,0.5,Rajasthan Royals,2018,Overseas,1
Dwaine Pretorius,All-Rounder,0.5,Chennai Super Kings,2022,Overseas,1
Dwayne Bravo,All-Rounder,6.4,Chennai Super Kings,2018,Overseas,1
Dwayne Bravo,All-Rounder,4.4,Chennai Super Kings,2022,Overseas,1
Dwayne Smith,Batsman,4.5,Chennai Super Kings,2014,Overseas,1
Dwayne Smith,All-Rounder,2.3,Gujarat Lions,2016,Overseas,0
Eklavya Dwivedi,Wicket Keeper,0.1,Chennai Super Kings,2015,Indian,0
Eklavya Dwivedi,Wicket Keeper,1,Gujarat Lions,2016,Indian,0
Eklavya Dwivedi,Wicket Keeper,0.75,Sunrisers Hyderabad,2017,Indian,0
Eoin Morgan,Batsman,1.5,Sunrisers Hyderabad,2015,Overseas,0
Eoin Morgan,Batsman,2,Kings XI Punjab,2017,Overseas,0
Eoin Morgan,Batsman,5.25,Kolkata Knight Riders,2020,Overseas,0
Evin Lewis,Batsman,3.8,Mumbai Indians,2018,Overseas,1
Evin Lewis,Batsman,2,Lucknow Super Giants,2022,Overseas,1
Fabian Allen,All-Rounder,0.5,Sunrisers Hyderabad,2020,Overseas,0
Fabian Allen,All-Rounder,0.75,Punjab Kings,2021,Overseas,0
Fabian Allen,All-Rounder,0.75,Mumbai Indians,2022,Overseas,1
Faf Du Plessis,Batsman,4.75,Chennai Super Kings,2014,Overseas,1
Faf Du Plessis,Batsman,1.6,Chennai Super Kings,2018,Overseas,1
Faf Du Plessis,Batsman,7,Royal Challengers Bangalore,2022,Overseas,1
Farhaan Behardien,All-Rounder,0.3,Kings XI Punjab,2016,Overseas,0
Fazalhaq Farooqi,Bowler,0.5,Sunrisers Hyderabad,2022,Overseas,1
Fidel Edwards,Bowler,1.575,Rajasthan Royals,2013,Overseas,0
Finn Allen,Batsman,0.8,Royal Challengers Bangalore,2022,Overseas,1
Gautam Gambhir,Batsman,2.8,Delhi Daredevils,2018,Indian,1
George Bailey,Batsman,3.25,Kings XI Punjab,2014,Overseas,1
Glenn Maxwell,All-Rounder,7.5,Mumbai Indians,2013,Overseas,0
Glenn Maxwell,All-Rounder,6,Kings XI Punjab,2014,Overseas,1
Glenn Maxwell,All-Rounder,9,Delhi Daredevils,2018,Overseas,1
Glenn Maxwell,All-Rounder,10.75,Kings XI Punjab,2020,Overseas,0
Glenn Maxwell,All-Rounder,14.25,Royal Challengers Bangalore,2021,Overseas,0
Glenn Phillips,Wicket Keeper,1.5,Sunrisers Hyderabad,2022,Overseas,1
Gurinder Sandhu,Bowler,1.7,Delhi Daredevils,2015,Indian,0
Gurkeerat Singh Mann,All-Rounder,0.5,Gujarat Titans,2022,Indian,1
Gurkeerat Singh Mann,All-Rounder,0.75,Delhi Daredevils,2018,Indian,1
Gurkeerat Singh Mann,All-Rounder,0.5,Royal Challengers Bangalore,2019,Indian,0
Gurkeerat Singh Mann,Batsman,1.3,Kings XI Punjab,2014,Indian,1
Hanuma Vihari,Batsman,0.1,Sunrisers Hyderabad,2015,Indian,0
Hanuma Vihari,Batsman,2,Delhi Capitals,2019,Indian,0
Harbhajan Singh,Bowler,2,Chennai Super Kings,2018,Indian,1
Harbhajan Singh,Bowler,2,Kolkata Knight Riders,2021,Indian,0
Hardik Pandya,All-Rounder,0.1,Mumbai Indians,2015,Indian,0
Hardus Viljoen,Bowler,0.75,Kings XI Punjab,2019,Overseas,0
Harpreet Brar,All-Rounder,0.2,Kings XI Punjab,2019,Indian,0
Harpreet Brar,All-Rounder,3.8,Punjab Kings,2022,Indian,1
Harry Gurney,Bowler,0.75,Kolkata Knight Riders,2019,Overseas,0
Harshal Patel,Bowler,0.4,Royal Challengers Bangalore,2014,Indian,1
Harshal Patel,All-Rounder,0.2,Delhi Daredevils,2018,Indian,1
Harshal Patel,All-Rounder,10.75,Royal Challengers Bangalore,2022,Indian,1
Heinrich Klaasen,Wicket Keeper,0.5,Royal Challengers Bangalore,2019,Overseas,0
Himmat Singh,Batsman,0.65,Royal Challengers Bangalore,2019,Indian,0
Hrithik Shokeen,All-Rounder,0.2,Mumbai Indians,2022,Indian,1
HS Sharath,Bowler,0.1,Delhi Daredevils,2014,Indian,1
Imran Tahir,Bowler,1,Chennai Super Kings,2018,Overseas,1
Iqbal Abdullah,All-Rounder,0.65,Rajasthan Royals,2014,Indian,1
Iqbal Abdullah,All-Rounder,0.1,Royal Challengers Bangalore,2016,Indian,0
Irfan Pathan,All-Rounder,2.4,Sunrisers Hyderabad,2014,Indian,1
Irfan Pathan,All-Rounder,1.5,Chennai Super Kings,2015,Indian,0
Irfan Pathan,All-Rounder,1,Rising Pune Supergiant,2016,Indian,0
Ishan Kishan,Wicket Keeper,0.35,Gujarat Lions,2016,Indian,0
Ishan Kishan,Wicket Keeper,6.2,Mumbai Indians,2018,Indian,1
Ishan Kishan,Wicket Keeper,15.25,Mumbai Indians,2022,Indian,1
Ishan Porel,Bowler,0.25,Punjab Kings,2022,Indian,1
Ishan Porel,Bowler,0.2,Kings XI Punjab,,Indian,0
Ishank Jaggi,Batsman,0.1,Kolkata Knight Riders,2017,Indian,0
Ishank Jaggi,Batsman,0.2,Kolkata Knight Riders,2018,Indian,1
Ishant Sharma,Bowler,2.6,Sunrisers Hyderabad,2014,Indian,1
Ishant Sharma,Bowler,3.8,Rising Pune Supergiant,2016,Indian,0
Ishant Sharma,Bowler,1.1,Delhi Capitals,2019,Indian,0
Ishwar Chandra Pandey,Bowler,1.5,Chennai Super Kings,2014,Indian,1
Ishwar Chandra Pandey,Bowler,0.2,Rising Pune Supergiant,2016,Indian,0
Isuru Udana,All-Rounder,0.5,Royal Challengers Bangalore,2020,Overseas,0
J Suchith,Bowler,0.3,Sunrisers Hyderabad,2021,Indian,0
J Suchith,All-Rounder,0.1,Mumbai Indians,2015,Indian,0
Jacob Oram,All-Rounder,0.375,Mumbai Indians,2013,Overseas,0
Jacques Kallis,All-Rounder,5.5,Kolkata Knight Riders,2014,Overseas,1
Jagadeesha Suchith,Bowler,0.2,Sunrisers Hyderabad,2022,Indian,1
Jalaj Saxena,All-Rounder,0.9,Mumbai Indians,2014,Indian,1
Jalaj Saxena,All-Rounder,0.1,Royal Challengers Bangalore,2015,Indian,0
Jalaj Saxena,All-Rounder,0.2,Delhi Capitals,2019,Indian,0
Jalaj Saxena,All-Rounder,0.3,Punjab Kings,2021,Indian,0
James Faulkner,All-Rounder,3,Rajasthan Royals,2013,Overseas,0
James Neesham,All-Rounder,1,Delhi Daredevils,2014,Overseas,1
James Neesham,All-Rounder,0.5,Kolkata Knight Riders,2015,Overseas,0
James Neesham,All-Rounder,0.5,Kings XI Punjab,2020,Overseas,0
James Neesham,All-Rounder,0.5,Mumbai Indians,2021,Overseas,0
James Neesham,All-Rounder,1.5,Rajasthan Royals,2022,Overseas,1
Jaskaran Singh,Bowler,0.1,Rising Pune Supergiant,2016,Indian,0
Jason Behrendorff,Bowler,1.5,Mumbai Indians,2018,Overseas,1
Jason Behrendorff,Bowler,0.75,Royal Challengers Bangalore,2022,Overseas,1
Jason Holder,Bowler,0.15,Chennai Super Kings,2013,Overseas,0
Jason Holder,Bowler,0.75,Sunrisers Hyderabad,2014,Overseas,1
Jason Holder,All-Rounder,0.7,Kolkata Knight Riders,2016,Overseas,0
Jason Holder,All-Rounder,8.75,Lucknow Super Giants,2022,Overseas,1
Jason Roy,Batsman,1,Gujarat Lions,2017,Overseas,0
Jason Roy,Batsman,1.5,Delhi Daredevils,2018,Overseas,1
Jason Roy,Batsman,1.5,Delhi Capitals,2020,Overseas,0
Jason Roy,Batsman,2,Gujarat Titans,2022,Overseas,1
Jasprit Bumrah,Bowler,1.2,Mumbai Indians,2014,Indian,1
Jatin Saxena,All-Rounder,0.2,Rajasthan Royals,2018,Indian,1
Javon Searless,All-Rounder,0.3,Kolkata Knight Riders,2018,Indian,1
Jayant Yadav,All-Rounder,0.1,Delhi Daredevils,2014,Indian,1
Jayant Yadav,All-Rounder,0.5,Delhi Daredevils,2018,Indian,1
